date,time,Fuso horário,format,text,favorite,date_utc,time_utc,notes,details
10-12-2024,07:25:59,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907105824153|20240928110256|7.00||PFIbGe,0,10-12-2024,07:25:59,,
10-12-2024,07:25:52,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907138988040|20240928110727|6.00||kVZ5BpeaL7O3jFh6,0,10-12-2024,07:25:52,,
10-12-2024,07:25:43,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907143645740|20240928110848|17.00||c7XHyF0GjwjhtElumtjTTIEjGmg6,0,10-12-2024,07:25:43,,
10-12-2024,07:25:37,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907179948182|20240928111143|64.00||CMahXjBhtn1kVZiEeAfttx/Ufw5nwT9qLUDCaojhGyXQAoPMfBSg,0,10-12-2024,07:25:37,,
10-12-2024,07:25:34,Horário Padrão de Brasília,EAN_13,6771844621631,0,10-12-2024,07:25:34,,
10-12-2024,07:25:30,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907185509063|20240928111411|28.68||duy4UToC,0,10-12-2024,07:25:30,,
10-12-2024,07:25:16,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907202922628|20240928111630|38.85||I45dIYbiOcMOvouTpQspWyxycDOn6n8dX/goy2AFnCbaCGiyK6BxuC3CSnNRKUPav2DHJaoPPSvuZ0dELnDk81,0,10-12-2024,07:25:16,,
10-12-2024,07:25:11,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907250178518|20240928111958|2.60||EgiMwIPLkJ3czp/WN6NzOPxege/xYGkDq/r4TdwdYtuiVNOtSsXdbSX3NjTrWrz3tn9M8dJj7kLQ9IDDFW,0,10-12-2024,07:25:11,,
10-12-2024,07:25:07,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907260312896|20240928112036|127.00||lQPP5s4NFCU9gsqY8z6lkns1uFBxcJPahtWbqDNpE7lqSoBjAaIlQIKLV0vgOS3UWHmRUDEmYrpZw1wnf8ji80LNX0xZNaZItiOY60,0,10-12-2024,07:25:07,,
10-12-2024,07:25:03,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907335622137|20240928113058|28.50||k5E66hL/L2JYp267BXtuZIRh137PcUwgJYgArP5kph9AIwb1QQqfX,0,10-12-2024,07:25:03,,
10-12-2024,07:25:00,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907353816541|20240928113310|10.00||GkkVaH2ipubLlncv2Xq0ZFOPbO/,0,10-12-2024,07:25:00,,
10-12-2024,07:24:55,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907469843227|20240928114601|45.00||Zt6qtneNlQDHBAre05yoCZAld5HxG1IuytKX,0,10-12-2024,07:24:55,,
10-12-2024,07:24:51,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907484239440|20240928115021|31.00||tnr/hy4Y3Osd6IgyZnPbBJiNelIx,0,10-12-2024,07:24:51,,
10-12-2024,07:24:46,Horário Padrão de Brasília,QR_CODE,35240943017003000140590011359531907525091230|20240928115437|35.85||uOIR1tX,0,10-12-2024,07:24:46,,
10-08-2024,19:54:28,Horário Padrão de Brasília,QR_CODE,https://www.a12.com/area-do-devoto/oferta-digital?campanha=5296,0,10-08-2024,19:54:28,,
